"TIME_PERIOD","    Personal consumption expenditures (PCE)"
"1960M01",-0.1
"1960M02",0.1
"1960M03",0.1
"1960M04",0.4
"1960M05",0.1
"1960M06",
"1960M07",0.2
"1960M08",0.2
"1960M09",0.1
"1960M10",0.1
"1960M11",0.3
"1960M12",
"1961M01",
"1961M02",0.1
"1961M03",-0.1
"1961M04",-0.1
"1961M05",0.1
"1961M06",
"1961M07",0.2
"1961M08",0.1
"1961M09",0.1
"1961M10",
"1961M11",
"1961M12",
"1962M01",0.2
"1962M02",0.3
"1962M03",0.1
"1962M04",0.1
"1962M05",0.1
"1962M06",0.1
"1962M07",-0.1
"1962M08",0.1
"1962M09",0.5
"1962M10",-0.1
"1962M11",0.1
"1962M12",
"1963M01",0.2
"1963M02",0.1
"1963M03",-0.1
"1963M04",
"1963M05",0.2
"1963M06",0.2
"1963M07",0.2
"1963M08",0.1
"1963M09",
"1963M10",0.2
"1963M11",0.1
"1963M12",0.1
"1964M01",0.2
"1964M02",0.1
"1964M03",0.1
"1964M04",0.1
"1964M05",
"1964M06",0.1
"1964M07",0.1
"1964M08",0.1
"1964M09",0.2
"1964M10",0.1
"1964M11",0.1
"1964M12",0.1
"1965M01",0.1
"1965M02",
"1965M03",0.1
"1965M04",0.2
"1965M05",0.2
"1965M06",0.3
"1965M07",0.1
"1965M08",
"1965M09",
"1965M10",
"1965M11",0.2
"1965M12",0.4
"1966M01",0.1
"1966M02",0.4
"1966M03",0.2
"1966M04",0.3
"1966M05",0.1
"1966M06",0.2
"1966M07",0.2
"1966M08",0.4
"1966M09",0.3
"1966M10",0.3
"1966M11",0.1
"1966M12",0.2
"1967M01",
"1967M02",0.1
"1967M03",0.1
"1967M04",0.2
"1967M05",0.2
"1967M06",0.3
"1967M07",0.3
"1967M08",0.3
"1967M09",0.3
"1967M10",0.3
"1967M11",0.3
"1967M12",0.2
"1968M01",0.5
"1968M02",0.4
"1968M03",0.3
"1968M04",0.3
"1968M05",0.4
"1968M06",0.3
"1968M07",0.3
"1968M08",0.4
"1968M09",0.3
"1968M10",0.4
"1968M11",0.3
"1968M12",0.2
"1969M01",0.4
"1969M02",0.3
"1969M03",0.5
"1969M04",0.4
"1969M05",0.4
"1969M06",0.5
"1969M07",0.4
"1969M08",0.3
"1969M09",0.4
"1969M10",0.3
"1969M11",0.4
"1969M12",0.5
"1970M01",0.4
"1970M02",0.4
"1970M03",0.2
"1970M04",0.5
"1970M05",0.3
"1970M06",0.3
"1970M07",0.4
"1970M08",0.3
"1970M09",0.4
"1970M10",0.5
"1970M11",0.4
"1970M12",0.4
"1971M01",0.2
"1971M02",0.3
"1971M03",0.3
"1971M04",0.4
"1971M05",0.4
"1971M06",0.4
"1971M07",0.3
"1971M08",0.3
"1971M09",0.1
"1971M10",0.2
"1971M11",0.2
"1971M12",0.4
"1972M01",0.4
"1972M02",0.4
"1972M03",0.1
"1972M04",0.2
"1972M05",0.2
"1972M06",0.2
"1972M07",0.4
"1972M08",0.3
"1972M09",0.4
"1972M10",0.1
"1972M11",0.3
"1972M12",0.3
"1973M01",0.3
"1973M02",0.5
"1973M03",0.7
"1973M04",0.7
"1973M05",0.5
"1973M06",0.6
"1973M07",0.4
"1973M08",1.2
"1973M09",0.4
"1973M10",0.6
"1973M11",0.8
"1973M12",0.8
"1974M01",1
"1974M02",1.2
"1974M03",1.2
"1974M04",0.7
"1974M05",1
"1974M06",0.8
"1974M07",0.7
"1974M08",1
"1974M09",1
"1974M10",0.7
"1974M11",0.8
"1974M12",0.8
"1975M01",0.6
"1975M02",0.5
"1975M03",0.3
"1975M04",0.3
"1975M05",0.4
"1975M06",0.6
"1975M07",0.9
"1975M08",0.4
"1975M09",0.5
"1975M10",0.6
"1975M11",0.6
"1975M12",0.6
"1976M01",0.4
"1976M02",0.1
"1976M03",0.2
"1976M04",0.2
"1976M05",0.5
"1976M06",0.4
"1976M07",0.5
"1976M08",0.6
"1976M09",0.6
"1976M10",0.5
"1976M11",0.5
"1976M12",0.6
"1977M01",0.6
"1977M02",0.8
"1977M03",0.5
"1977M04",0.6
"1977M05",0.5
"1977M06",0.6
"1977M07",0.5
"1977M08",0.5
"1977M09",0.4
"1977M10",0.5
"1977M11",0.6
"1977M12",0.5
"1978M01",0.6
"1978M02",0.5
"1978M03",0.6
"1978M04",0.8
"1978M05",0.7
"1978M06",0.7
"1978M07",0.5
"1978M08",0.5
"1978M09",0.6
"1978M10",0.8
"1978M11",0.6
"1978M12",0.5
"1979M01",0.8
"1979M02",0.5
"1979M03",0.8
"1979M04",1
"1979M05",1
"1979M06",0.8
"1979M07",0.8
"1979M08",0.8
"1979M09",0.9
"1979M10",0.8
"1979M11",0.7
"1979M12",0.8
"1980M01",1
"1980M02",1.1
"1980M03",1.2
"1980M04",0.5
"1980M05",0.8
"1980M06",0.6
"1980M07",0.8
"1980M08",0.8
"1980M09",0.9
"1980M10",0.8
"1980M11",0.8
"1980M12",0.6
"1981M01",1
"1981M02",1
"1981M03",0.7
"1981M04",0.4
"1981M05",0.4
"1981M06",0.4
"1981M07",0.6
"1981M08",0.6
"1981M09",0.6
"1981M10",0.5
"1981M11",0.5
"1981M12",0.3
"1982M01",0.6
"1982M02",0.3
"1982M03",0.3
"1982M04",
"1982M05",0.6
"1982M06",0.7
"1982M07",0.6
"1982M08",0.3
"1982M09",0.3
"1982M10",0.6
"1982M11",0.3
"1982M12",0.2
"1983M01",0.5
"1983M02",0.2
"1983M03",0.1
"1983M04",0.5
"1983M05",0.3
"1983M06",0.4
"1983M07",0.6
"1983M08",0.4
"1983M09",0.4
"1983M10",0.2
"1983M11",0.1
"1983M12",0.1
"1984M01",0.4
"1984M02",0.7
"1984M03",0.3
"1984M04",0.4
"1984M05",0.1
"1984M06",0.2
"1984M07",0.4
"1984M08",0.3
"1984M09",0.1
"1984M10",0.2
"1984M11",0.1
"1984M12",0.3
"1985M01",0.5
"1985M02",0.5
"1985M03",0.4
"1985M04",0.1
"1985M05",0.2
"1985M06",0.3
"1985M07",0.2
"1985M08",0.3
"1985M09",0.2
"1985M10",0.2
"1985M11",0.3
"1985M12",0.3
"1986M01",0.5
"1986M02",
"1986M03",-0.2
"1986M04",-0.2
"1986M05",0.2
"1986M06",0.4
"1986M07",
"1986M08",0.1
"1986M09",0.3
"1986M10",0.2
"1986M11",0.2
"1986M12",0.1
"1987M01",0.5
"1987M02",0.4
"1987M03",0.3
"1987M04",0.4
"1987M05",0.3
"1987M06",0.4
"1987M07",0.2
"1987M08",0.4
"1987M09",0.3
"1987M10",0.3
"1987M11",0.2
"1987M12",0.2
"1988M01",0.4
"1988M02",0.1
"1988M03",0.3
"1988M04",0.5
"1988M05",0.3
"1988M06",0.4
"1988M07",0.5
"1988M08",0.3
"1988M09",0.5
"1988M10",0.3
"1988M11",0.2
"1988M12",0.3
"1989M01",0.5
"1989M02",0.3
"1989M03",0.4
"1989M04",0.7
"1989M05",0.4
"1989M06",0.2
"1989M07",0.2
"1989M08",
"1989M09",0.2
"1989M10",0.4
"1989M11",0.2
"1989M12",0.3
"1990M01",0.8
"1990M02",0.4
"1990M03",0.4
"1990M04",0.2
"1990M05",0.2
"1990M06",0.4
"1990M07",0.2
"1990M08",0.7
"1990M09",0.6
"1990M10",0.6
"1990M11",0.1
"1990M12",0.1
"1991M01",0.4
"1991M02",0.1
"1991M03",
"1991M04",0.2
"1991M05",0.4
"1991M06",0.2
"1991M07",0.2
"1991M08",0.2
"1991M09",0.3
"1991M10",0.2
"1991M11",0.2
"1991M12",0.3
"1992M01",0.1
"1992M02",0.3
"1992M03",0.2
"1992M04",0.3
"1992M05",0.1
"1992M06",0.2
"1992M07",0.3
"1992M08",0.1
"1992M09",0.2
"1992M10",0.4
"1992M11",0.2
"1992M12",0.2
"1993M01",0.2
"1993M02",0.2
"1993M03",0.2
"1993M04",0.3
"1993M05",0.3
"1993M06",
"1993M07",0.2
"1993M08",0.2
"1993M09",0.1
"1993M10",0.3
"1993M11",0.2
"1993M12",
"1994M01",
"1994M02",0.2
"1994M03",0.3
"1994M04",0.1
"1994M05",0.1
"1994M06",0.2
"1994M07",0.3
"1994M08",0.2
"1994M09",0.1
"1994M10",0.2
"1994M11",0.2
"1994M12",0.1
"1995M01",0.2
"1995M02",0.2
"1995M03",0.2
"1995M04",0.3
"1995M05",0.2
"1995M06",0.1
"1995M07",0.1
"1995M08",0.2
"1995M09",0.1
"1995M10",0.3
"1995M11",
"1995M12",0.2
"1996M01",0.2
"1996M02",0.2
"1996M03",0.3
"1996M04",0.3
"1996M05",0.2
"1996M06",
"1996M07",0.2
"1996M08",0.1
"1996M09",0.3
"1996M10",0.3
"1996M11",0.2
"1996M12",0.1
"1997M01",0.1
"1997M02",0.2
"1997M03",0.1
"1997M04",0.1
"1997M05",
"1997M06",0.1
"1997M07",0.1
"1997M08",0.1
"1997M09",0.2
"1997M10",0.1
"1997M11",
"1997M12",
"1998M01",
"1998M02",-0.1
"1998M03",
"1998M04",0.1
"1998M05",0.1
"1998M06",-0.1
"1998M07",0.2
"1998M08",0.1
"1998M09",-0.1
"1998M10",0.2
"1998M11",
"1998M12",0.1
"1999M01",0.1
"1999M02",-0.1
"1999M03",0.1
"1999M04",0.5
"1999M05",0.1
"1999M06",
"1999M07",0.3
"1999M08",0.2
"1999M09",0.4
"1999M10",0.2
"1999M11",0.1
"1999M12",0.2
"2000M01",0.3
"2000M02",0.3
"2000M03",0.4
"2000M04",-0.1
"2000M05",0.1
"2000M06",0.3
"2000M07",0.3
"2000M08",
"2000M09",0.4
"2000M10",0.1
"2000M11",0.1
"2000M12",0.2
"2001M01",0.5
"2001M02",0.2
"2001M03",
"2001M04",0.2
"2001M05",0.3
"2001M06",0.2
"2001M07",
"2001M08",
"2001M09",-0.3
"2001M10",0.4
"2001M11",-0.1
"2001M12",-0.1
"2002M01",0.1
"2002M02",0.2
"2002M03",0.3
"2002M04",0.4
"2002M05",0.1
"2002M06",0.1
"2002M07",0.2
"2002M08",0.2
"2002M09",0.2
"2002M10",0.2
"2002M11",0.1
"2002M12",0.1
"2003M01",0.3
"2003M02",0.4
"2003M03",0.3
"2003M04",-0.2
"2003M05",-0.1
"2003M06",0.1
"2003M07",0.3
"2003M08",0.3
"2003M09",0.3
"2003M10",
"2003M11",0.1
"2003M12",0.2
"2004M01",0.4
"2004M02",0.2
"2004M03",0.2
"2004M04",0.2
"2004M05",0.3
"2004M06",0.3
"2004M07",0.1
"2004M08",0.1
"2004M09",0.2
"2004M10",0.4
"2004M11",0.4
"2004M12",0.1
"2005M01",0.1
"2005M02",0.3
"2005M03",0.3
"2005M04",0.3
"2005M05",0.1
"2005M06",0.1
"2005M07",0.4
"2005M08",0.4
"2005M09",1
"2005M10",0.2
"2005M11",-0.2
"2005M12",
"2006M01",0.5
"2006M02",0.1
"2006M03",0.2
"2006M04",0.5
"2006M05",0.3
"2006M06",0.2
"2006M07",0.3
"2006M08",0.3
"2006M09",-0.3
"2006M10",-0.2
"2006M11",
"2006M12",0.4
"2007M01",0.3
"2007M02",0.3
"2007M03",0.4
"2007M04",0.2
"2007M05",0.3
"2007M06",0.2
"2007M07",0.2
"2007M08",0.1
"2007M09",0.4
"2007M10",0.3
"2007M11",0.5
"2007M12",0.2
"2008M01",0.3
"2008M02",0.2
"2008M03",0.3
"2008M04",0.2
"2008M05",0.4
"2008M06",0.7
"2008M07",0.5
"2008M08",-0.1
"2008M09",0.1
"2008M10",-0.7
"2008M11",-1.2
"2008M12",-0.6
"2009M01",
"2009M02",0.2
"2009M03",-0.1
"2009M04",0.1
"2009M05",0.1
"2009M06",0.6
"2009M07",
"2009M08",0.3
"2009M09",0.2
"2009M10",0.4
"2009M11",0.2
"2009M12",0.1
"2010M01",0.2
"2010M02",
"2010M03",0.1
"2010M04",0.1
"2010M05",
"2010M06",
"2010M07",0.1
"2010M08",0.1
"2010M09",0.1
"2010M10",0.3
"2010M11",0.2
"2010M12",0.2
"2011M01",0.3
"2011M02",0.3
"2011M03",0.4
"2011M04",0.4
"2011M05",0.3
"2011M06",
"2011M07",0.2
"2011M08",0.2
"2011M09",0.1
"2011M10",
"2011M11",0.2
"2011M12",0.1
"2012M01",0.3
"2012M02",0.2
"2012M03",0.2
"2012M04",0.1
"2012M05",-0.1
"2012M06",-0.1
"2012M07",
"2012M08",0.3
"2012M09",0.3
"2012M10",0.3
"2012M11",-0.1
"2012M12",
"2013M01",0.2
"2013M02",0.4
"2013M03",-0.1
"2013M04",-0.1
"2013M05",0.1
"2013M06",0.2
"2013M07",0.1
"2013M08",0.1
"2013M09",
"2013M10",0.1
"2013M11",0.1
"2013M12",0.2
"2014M01",0.2
"2014M02",
"2014M03",0.2
"2014M04",0.2
"2014M05",0.2
"2014M06",0.1
"2014M07",0.1
"2014M08",
"2014M09",
"2014M10",
"2014M11",-0.1
"2014M12",-0.2
"2015M01",-0.5
"2015M02",0.2
"2015M03",0.2
"2015M04",0.1
"2015M05",0.2
"2015M06",0.2
"2015M07",0.1
"2015M08",
"2015M09",-0.1
"2015M10",
"2015M11",0.1
"2015M12",-0.1
"2016M01",
"2016M02",-0.1
"2016M03",0.2
"2016M04",0.3
"2016M05",0.2
"2016M06",0.2
"2016M07",
"2016M08",0.1
"2016M09",0.2
"2016M10",0.2
"2016M11",
"2016M12",0.2
"2017M01",0.4
"2017M02",0.1
"2017M03",-0.1
"2017M04",0.2
"2017M05",
"2017M06",0.1
"2017M07",
"2017M08",0.2
"2017M09",0.4
"2017M10",0.1
"2017M11",0.1
"2017M12",0.1
"2018M01",0.4
"2018M02",0.2
"2018M03",0.1
"2018M04",0.2
"2018M05",0.2
"2018M06",0.1
"2018M07",0.1
"2018M08",0.1
"2018M09",0.2
"2018M10",0.2
"2018M11",
"2018M12",0.1
"2019M01",-0.1
"2019M02",0.2
"2019M03",0.2
"2019M04",0.3
"2019M05",0.1
"2019M06",
"2019M07",0.1
"2019M08",
"2019M09",0.1
"2019M10",0.2
"2019M11",0.1
"2019M12",0.3
"2020M01",0.2
"2020M02",0.1
"2020M03",-0.3
"2020M04",-0.4
"2020M05",0.1
"2020M06",0.3
"2020M07",0.3
"2020M08",0.3
"2020M09",0.2
"2020M10",0.1
"2020M11",0.1
"2020M12",0.4
"2021M01",0.4
"2021M02",0.3
"2021M03",0.5
"2021M04",0.5
"2021M05",0.5
"2021M06",0.5
"2021M07",0.5
"2021M08",0.4
"2021M09",0.3
"2021M10",0.7
"2021M11",0.7
"2021M12",0.6
"2022M01",0.5
"2022M02",0.6
"2022M03",0.9
"2022M04",0.3
"2022M05",0.6
"2022M06",1
"2022M07",
"2022M08",0.3
"2022M09",0.4
"2022M10",0.5
"2022M11",0.3
"2022M12",0.1
"2023M01",0.5
"2023M02",0.3
"2023M03",0.1
"2023M04",0.3
"2023M05",0.2
"2023M06",0.3
"2023M07",0.1
"2023M08",0.3
"2023M09",0.4
"2023M10",0.1
"2023M11",
"2023M12",0.1
"2024M01",0.5
"2024M02",0.3
"2024M03",0.4
"2024M04",0.2
"2024M05",
"2024M06",0.2
"2024M07",0.2
"2024M08",0.1
"2024M09",0.2
"2024M10",0.3
"2024M11",0.1
"2024M12",0.3
"2025M01",0.4
"2025M02",0.4
"2025M03",
"2025M04",0.2
"2025M05",0.2
"2025M06",0.3
"2025M07",0.2
"2025M08",0.3
"2025M09",0.3
